use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Deep Space Robotic,ADD,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,No,Low,1,11281.0,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44,2337874.44
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,Yes,Low,1,11281.0,286650.21,286650.21,290372.94,294095.67000000004,297818.4,302782.04
Mission Operations,ADD,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,ADD,SR,No,Low,5,445110.0,28887639.000000004,32314986.000000004,32314986.000000004,32314986.000000004,30846123.000000004,33294228.000000004
Human Space Flight,ADD,SR,Yes,Low,5,445110.0,11261283.0,14688630.000000002,14688630.000000002,19095219.0,18115977.0,20564082.0
Near Earth Robotic - LEO Science,ADD,SR,No,Low,10,758650.0,49236385.00000001,55077990.00000001,55077990.00000001,55077990.00000001,52574445.00000001,56747020.00000001
Near Earth Robotic - LEO Science,ADD,SR,Yes,Low,10,758650.0,19193845.0,25035450.000000004,25035450.000000004,32546085.000000004,30877055.000000004,35049630.0
Near Earth Robotic - GEO and Near Earth,ADD,SR,No,Low,1,54.5,3537.05,3956.7000000000003,3956.7000000000003,3956.7000000000003,3776.8500000000004,4076.6000000000004
Near Earth Robotic - GEO and Near Earth,ADD,SR,Yes,Low,1,54.5,1378.8500000000001,1798.5000000000002,1798.5000000000002,2338.05,2218.15,2517.9
Deep Space Robotic,ADD,SR,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,ADD,SR,Yes,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
